,nodeA,nodeB
605,Moammar Gadhafi,Obama
606,Clinton,Obama
607,Clinton,Obama
608,Clinton,Obama
609,Matt Lauer,Obama
610,Clinton,Obama
611,Obama,Trump
612,Howard Stern,Obama
613,Obama,Trump
614,Clinton,Obama
615,Clinton,Obama
616,Clinton,Obama
617,Neil Cavuto,Obama
618,Cavuto,Obama
619,Obama,Trump
620,Chris Matthews,Obama
621,Joe Scarborough,Obama
622,Donald Trump,Obama
623,Obama,Obama
624,George W. Bush,Obama
625,Matt Lauer,Obama
626,Bush,Obama
627,Bush,Obama
628,Condoleezza Rice,Obama
629,Bush,Obama
630,Bush,Obama
631,Nouri al-Maliki,Obama
632,Leon Panetta,Obama
633,Maliki,Obama
634,Obama,Raul Castro
635,Obama,Salman
636,Obama,Ronald Reagan
637,Obama,Reagan
638,Helmut Kohl,Obama
639,Glenn Kessler,Obama
640,Kessler,Obama
641,Obama,Richard Nixon
642,Obama,Zhou Enlai
643,Mao,Obama
644,Nixon,Obama
645,Clinton,Obama
646,Clinton,Obama
647,Obama,Obama
648,Obama,Trump
649,Clinton,Obama
650,Moammar Gadhafi,Obama
651,Lauer,Obama
652,Obama,Ted Cruz
653,Gadhafi,Obama
654,Clinton,Obama
655,Gadhafi,Obama
656,Clinton,Obama
657,Clinton,Obama
658,Clinton,Obama
659,Clinton,Obama
660,Clinton,Obama
661,Clinton,Obama
662,Obama,Rachel Maddow
663,Maddow,Obama
664,Maddow,Obama
665,Clinton,Obama
666,Clinton,Obama
667,Clinton,Obama
668,Clinton,Obama
669,Clinton,Obama
670,Clinton,Obama
671,Clinton,Obama
672,Clinton,Obama
673,Clinton,Obama
674,Clinton,Obama
675,Clinton,Obama
676,Clinton,Trump
677,Clinton,Trump
678,Moammar Gadhafi,Trump
679,Clinton,Trump
680,Clinton,Trump
681,Clinton,Trump
682,Matt Lauer,Trump
683,Clinton,Trump
684,Trump,Trump
685,Howard Stern,Trump
686,Trump,Trump
687,Clinton,Trump
688,Clinton,Trump
689,Clinton,Trump
690,Neil Cavuto,Trump
691,Cavuto,Trump
692,Trump,Trump
693,Chris Matthews,Trump
694,Joe Scarborough,Trump
695,Donald Trump,Trump
696,Obama,Trump
697,George W. Bush,Trump
698,Matt Lauer,Trump
699,Bush,Trump
700,Bush,Trump
701,Condoleezza Rice,Trump
702,Bush,Trump
703,Bush,Trump
704,Nouri al-Maliki,Trump
705,Leon Panetta,Trump
706,Maliki,Trump
707,Raul Castro,Trump
708,Salman,Trump
709,Ronald Reagan,Trump
710,Reagan,Trump
711,Helmut Kohl,Trump
712,Glenn Kessler,Trump
713,Kessler,Trump
714,Richard Nixon,Trump
715,Trump,Zhou Enlai
716,Mao,Trump
717,Nixon,Trump
718,Clinton,Trump
719,Clinton,Trump
720,Obama,Trump
721,Trump,Trump
722,Clinton,Trump
723,Moammar Gadhafi,Trump
724,Lauer,Trump
725,Ted Cruz,Trump
726,Gadhafi,Trump
727,Clinton,Trump
728,Gadhafi,Trump
729,Clinton,Trump
730,Clinton,Trump
731,Clinton,Trump
732,Clinton,Trump
733,Clinton,Trump
734,Clinton,Trump
735,Rachel Maddow,Trump
736,Maddow,Trump
737,Maddow,Trump
738,Clinton,Trump
739,Clinton,Trump
740,Clinton,Trump
741,Clinton,Trump
742,Clinton,Trump
743,Clinton,Trump
744,Clinton,Trump
745,Clinton,Trump
